p_id,name,position
YaryRo00,Ron Yary,T
EdwaEd20,Eddie Edwards,DE-DT
GrieBo00,Bob Griese,QB
DickLy00,Lynn Dickey,QB
nelsochu01,Chuck Nelson,K
RainDa20,Dan Rains,LB
HeadAn20,Andy Headen,LB
ReutRa20,Randy Reutershan,WR
McAlJa00,James McAlister,RB
SuheMa00,Matt Suhey,RB
RobiJi00,Jim Robinson,WR
LeexJe20,Jeff Lee,WR
ButtGr20,Greg Buttle,LB
ReedFr20,Frank Reed,DB
McGiRa20,Ralph McGill,DB
ClarKe21,Ken Clark,P
PoseDa20,David Posey,K
StenMi20,Mike Stensrud,NT-DE-DT
NeilSt20,Steve Neils,LB
MiddRi20,Rick Middleton,LB
HardRo21,Robert Hardy,DT
KrauBa21,Barry Krauss,LB
MariFr20,Frank Marion,LB
JoneLa01,Larry Jones,WB-DB
ThorBr20,Bruce Thornton,DE-DT
BrunLa00,Larry Brunson,WR
GereRo20,Roy Gerela,K
DierSc00,Scott Dierking,RB
LarsBi21,Bill Larson,TE
BoyaJe20,Jerry Boyarsky,NT
KomlJe00,Jeff Komlo,QB
jacobdav01,Dave Jacobs,K
SampHo20,Howard Sampson,DB
BeniDa20,Dan Benish,DT
SmitBa00,Barty Smith,RB
ChilHe00,Henry Childs,TE
DudaMa20,Mark Duda,DT
JohnEd21,Eddie Johnson,LB
WhitCh00,Charles White,RB
RyanPa00,Pat Ryan,QB
GregBi20,Bill Gregory,DE-DT
GranOt00,Otis Grant,WR
WalkEl20,Elliott Walker,RB
LyonMa20,Marty Lyons,DE-DT-NT
BariCa20,Carl Barisich,DT-NT
NelmMi00,Mike Nelms,DB
PoweSt21,Steve Powell,RB
HickDw00,Dwight Hicks,DB
CurtMi00,Mike Curtis,LB-FB
StilAr00,Art Still,DE
CostRa20,Ray Costict,LB
WaymDa00,Dave Waymer,DB
BrowCe20,Cedric Brown,DB
SoutTo20,Tom Southard,WR
CoffKe20,Ken Coffey,DB
DykeDo20,Donald Dykes,DB
SelmLe00,Lee Roy Selmon,DE-DT
CousTo20,Tom Cousineau,LB
ElwaJo00,John Elway,QB
SwenBo00,Bob Swenson,LB
DuncBr00,Brian Duncan,RB
ChanWe00,Wes Chandler,WR
PearDe00,Dennis Pearson,WR
DaviMi20,Mike Davis ,DB
ClarDw00,Dwight Clark,WR
SipeBr00,Brian Sipe,QB
WellMi20,Mike Wellman,C
MontCl20,Cleo Montgomery,WR
CoopEa00,Earl Cooper,RB-TE
HuntJa23,James Hunter,NT-DE
CrabBo20,Bob Crable,LB
hajisali01,Ali Haji-Sheikh,K
DaviTo00,Tony Davis,RB
MartRo00,Rod Martin,LB
erxlerus01,Russell Erxleben,P
FarmTe20,Ted Farmer,RB
JoneBo00,Bobby Jones,WR
DaviCl00,Clarence Davis,RB
ScotRa21,Randy Scott,LB
BenjGu00,Guy Benjamin,QB
BrowRo24,Ross Browner,DE
JohnCh20,Charles Johnson,DB
VanDBo21,Bob Van Duyne,G-T
OrosTo20,Tom Orosz,P
werscray01,Ray Wersching,K
ThomJa00,Jack Thompson,QB
BusiSt20,Steve Busick,LB
BrigLe00,Leon Bright,RB
HarrMa21,Marshall Harris,DE-NT
JodaJi00,Jim Jodat,RB
BurrLl00,Lloyd Burruss,DB
GarrBe20,Ben Garry,RB
PageMi00,Mike Pagel,QB
LloyDa20,Dan Lloyd,LB
BrowCh00,Charlie Brown,WR
ScotJa01,Jake Scott,DB
BrunLa20,Larry Brune,DB
LawlBu20,Burton Lawless,G
JackWi01,Wilbur Jackson,RB
NewsOz00,Ozzie Newsome,TE
WashAn20,Anthony Washington,DB
HarpBr00,Bruce Harper,RB-WR
ArnoJo20,John Arnold,WR
DornTh20,Thom Dornbrook,G-C
LeMaFr00,Frank LeMaster,LB
HadnJa00,James Hadnot,RB
ShipJo20,Joe Shipp,TE
FencGa00,Gary Fencik,DB
AndeOt00,Ottis Anderson,RB
WillLe22,Lester Williams,NT-DE
MannEr20,Errol Mann,K
RamsDe00,Derrick Ramsey,TE
AdamTo00,Tony Adams,QB
leahypat01,Pat Leahy,K
PascDo00,Doug Paschal,RB
GrupBo20,Bob Grupp,P
CornCh20,Charles Cornelius,DB
StalDa20,Dave Stalls,DE-DT-NT
BeckEd00,Ed Beckman,TE
ThomLy20,Lynn Thomas ,DB
HurtEr20,Eric Hurt,DB
JoneMi00,Mike Jones,WR
MortMi00,Michael Morton,RB
HortRa20,Ray Horton,DB
JackTe20,Terry Jackson,DB
VanEMa00,Mark van Eeghen,RB
BestAr20,Art Best,RB
GregBo20,Bob Gregor,DB
FrazLe20,Leslie Frazier,DB
AdkiSa00,Sam Adkins,QB
CaveJi20,Jim Caver,DB
BirdCa20,Carl Birdsong,P
WhitSa00,Sammy White,WR
RogeJi00,Jimmy Rogers,RB
BlaiMa00,Matt Blair,LB
LinhTo20,Toni Linhart,K
KennBi00,Bill Kenney,QB
BreuBo00,Bob Breunig,LB
CraiRo00,Roger Craig,RB
NelsSh20,Shane Nelson,LB
DryeFr00,Fred Dryer,DE
MillMa21,Matt Miller,T-G
CromNo00,Nolan Cromwell,DB
GrotJe00,Jeff Groth,WR
PortRi00,Ricky Porter,RB
ClaiRi00,Rickey Claitt,RB
CoopJi21,Jim Cooper,T-C-G
PureDa20,Dave Pureifory,DE-DT
BrezGr00,Greg Brezina,LB
WoodRi20,Richard Wood,LB
HollSt20,Stan Holloway,LB
SandCl20,Clarence Sanders,LB
OlanCl00,Cliff Olander,QB
WalsJi20,Jim Walsh,RB
HaslJi20,Jim Haslett,LB
HardMi21,Mike Harden,DB
ToleKe20,Ken Toler,WR
AlexWi20,Willie Alexander,DB
GlasNe20,Nesby Glasgow,DB
PiccLo00,Lou Piccone,WR
GrosRa00,Randy Grossman,TE
DaviRu00,Russell Davis,RB
CollKi20,Kirk Collins,DB
JoinCh00,Charlie Joiner,WR
WonsOt00,Otis Wonsley,RB
ChanBo00,Bob Chandler,WR
HuntMo20,Monty Hunter,DB
NashJo00,Joe Nash,NT-DT
LatiJe00,Jerry Latin,RB
DirdJo20,Johnnie Dirden,WR
BowsCh20,Charles Bowser,LB
CabrBr20,Brian Cabral,LB
PittDa00,Danny Pittman,WR
PinkRe20,Reggie Pinkney,DB
McGeWi00,Willie McGee,WR
CrosRo20,Ron Crosby,LB
ZabeSt20,Steve Zabel,LB-TE
MontWi00,Wilbert Montgomery,RB
SwidLa20,Larry Swider,P
JessRo00,Ron Jessie,WR
ReecDa20,Danny Reece,DB
MillWi00,Willie Miller,WR
MinoVi20,Vic Minor,DB
ButlRa00,Ray Butler,WR
BellMa23,Mark Bell,WR
McNeDo20,Don McNeal,DB
WoolBu00,Butch Woolfolk,RB
BracGr20,Greg Bracelin,LB
MaxwVe20,Vernon Maxwell,LB
SmitRe21,Reggie Smith,WR
BaldKe20,Keith Baldwin,DE
MortCr00,Craig Morton,QB
GoodDo20,Don Goode,LB
LeCoTe00,Terry LeCount,WR
AuguMi00,Mike Augustyniak,RB
ChurRi20,Ricky Churchman,DB
WestGr20,Greg Westbrooks,LB
NicoSc20,Scott Nicolas,LB
SmitRi21,Ricky Smith,DB-WR
BarzCa20,Carl Barzilauskas,DT
HammBo00,Bobby Hammond,RB
HofePa00,Paul Hofer,RB
GrayJo20,Johnnie Gray,DB
HousKe00,Kevin House,WR
McKiZi20,Zion McKinney,WR
andermor01,Morten Andersen,K
GordLa20,Larry Gordon,LB
BoykGr00,Greg Boykin,RB
corrafra01,Frank Corral,K
KuykFu00,Fulton Kuykendall,LB
RileKe20,Ken Riley,DB
WillGr21,Greg Williams,DB
GaglBo00,Bob Gagliano,QB
AhreDa20,Dave Ahrens,LB
TealWi20,Willie Teal,DB
TuggJo20,John Tuggle,RB
GreeCu20,Curtis Green,DE-DT-NT
FedeJo21,Joe Federspiel,LB
WhitSh21,Sherman White,DE
WoerSc20,Scott Woerner,DB
SampLa20,Lawrence Sampleton,TE
MonkAr00,Art Monk,WR
WashSa20,Sam Washington,DB
DaviJe21,Jeff Davis,LB
EppsPh00,Phil Epps,WR
FranCl00,Cleveland Franklin,RB
danmeric01,Rick Danmeier,K
StouCl00,Cliff Stoudt,QB
OrteRa20,Ralph Ortega,LB
JackTo01,Tom Jackson,LB
BlinSt20,Stan Blinka,LB
GaryKe20,Keith Gary,DE
TurkGo20,Godwin Turk,LB
WestJe20,Jeff West,P-TE
ScotHe00,Herbert Scott,G-T
HippEr00,Eric Hipple,QB
WeatRo00,Robert Weathers,RB
SmitHo20,Holden Smith,WR
MendMa20,Mat Mendenhall,DE
ShumRo20,Ron Shumon,LB
SmitMi23,Mike Smith,WR
BailSt00,Stacey Bailey,WR
KennKe20,Ken Kennard,NT-DE
MillMa00,Mark Miller,QB
EaslWa00,Walt Easley,RB
VillPh00,Phil Villapiano,LB
HarrLe01,Leroy Harris,RB
JoneJa00,James Jones,FB-RB-TB-TE
WillDo00,Dokie Williams,WR
WilsSt00,Stanley Wilson,RB
ThomJe01,Jewerl Thomas,RB
BakeRo20,Ron Baker,G
WalkWe00,Wesley Walker,WR
AndeGa20,Gary Anderson,G
McNeFr21,Fred McNeill,LB
BokaKi00,Kim Bokamper,DE-LB
HarrWi01,Willard Harrell,RB
BrowJi21,Jim Browner,DB
PeacEl00,Elvis Peacock,RB
SchuJo00,John Schultz,WR
McLeDa20,Dana McLemore,DB
CaldAl20,Alan Caldwell,DB
BanaJo20,John Banaszak,DE-DT
BrowCu00,Curtis Brown,RB
McClRa20,Randy McClanahan,LB
ByrdGi00,Gill Byrd,DB
BellTh00,Theo Bell,WR
WaddRa20,Ray Waddy,DB
LogaDa20,David Logan,NT
GrayLe00,Leon Gray,T-G
PhilCh20,Charlie Phillips,DB
BleiRo00,Rocky Bleier,RB
RizzJo20,Joe Rizzo,LB
HenrSt20,Steve Henry,DB
BakeCh20,Charles Baker,LB
ParrDo20,Don Parrish ,NT-DE
KrucMi00,Mike Kruczek,QB
