abbr,wy,qb,qb_not_full_game,rb1,rb2,wr1,wr2,wr3
TAM,5 | 1978,WillDo01,0,BellRi01,DuboJi00,OwenMo00,MuckLa00,McKaJo00
MIN,5 | 1978,TarkFr00,0,YounRi00,MillRo00,RashAh00,WhitSa00,VoigSt00
CLT,5 | 1978,TrouBi00,0,WashJo00,LeakRo00,DougGl00,AlstMa00,CarrRo00
PHI,5 | 1978,JawoRo00,0,MontWi00,HogaMi00,CarmHa00,KrepKe00,OsboRi00
GNB,5 | 1978,WhitDa02,0,MiddTe00,SmitBa00,LoftJa00,ThomAu00,McGeRi00
DET,5 | 1978,DaniGa00,1,BussDe00,KingHo00,ScotFr01,ThomJe02,HillDa01
NOR,5 | 1978,MannAr00,0,GalbTo00,StraMi00,ChanWe00,ChilHe00,HarrIk00
RAM,5 | 1978,HadePa00,0,BryaCu00,CappJo00,NelsTe00,MillWi00,JessRo00
CHI,5 | 1978,AvelBo00,0,PaytWa00,HarpRo00,ScotJa00,LattGr00,RichGo00
RAI,5 | 1978,StabKe00,0,VanEMa00,WhitAr00,BranCl00,BradMo00,CaspDa00
DEN,5 | 1978,WeesNo00,0,KeywJo00,PerrLo00,OdomRi00,MoseHa00,DolbJa00
SEA,5 | 1978,ZornJi00,0,SimsDa00,HuntAl00,RaibSt00,LargSt00,FergDu00
SFO,5 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SoloFr01,MacAKe21,BoydEl00
CIN,5 | 1978,AndeKe00,1,JohnPe00,GrifAr00,CorbJa00,CurtIs00,BrooBi01
WAS,5 | 1978,TheiJo00,0,RiggJo00,ThomMi00,ThomRi00,McDaJo00,GranFr00
DAL,5 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearPr00,HillTo00,PearDr00
DET,6 | 1978,DaniGa00,0,BussDe00,KingHo00,HillDa01,ThomJe02,BlueLu00
WAS,6 | 1978,TheiJo00,0,RiggJo00,ThomMi00,McDaJo00,FugeJe00,GranFr00
NWE,6 | 1978,GrogSt00,0,CunnSa00,JohnAn01,MorgSt00,FranRu00,None
PHI,6 | 1978,JawoRo00,0,MontWi00,HogaMi00,KrepKe00,CarmHa00,PaynKe00
NYJ,6 | 1978,RobiMa01,0,LongKe00,DierSc00,GaffDe00,BarkJe00,WalkWe00
BUF,6 | 1978,FergJo00,0,MillTe00,BrowCu00,LewiFr00,GantRe00,ChanBo00
PIT,6 | 1978,BradTe00,0,HarrFr00,BleiRo00,StalJo00,SwanLy00,CunnBe00
ATL,6 | 1978,BartSt00,0,BeanBu00,StanHa00,RyckBi00,FranWa00,PearDe00
CRD,6 | 1978,HartJi00,0,OtisJi00,MorrWa00,GrayMe01,RamsEa00,TillPa00
CLT,6 | 1978,TrouBi00,0,WashJo00,LeakRo00,McCaDo00,DougGl00,AlstMa00
DAL,6 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearPr00,HillTo00,DuprBi00
NYG,6 | 1978,GolsJe00,1,KotaDo00,HammBo00,RobiJi00,PerkJo00,VanPBr01
GNB,6 | 1978,WhitDa02,0,MiddTe00,SmitBa00,ThomAu00,LoftJa00,OdomSt00
CHI,6 | 1978,AvelBo00,0,PaytWa00,HarpRo00,BascBr00,ScotJa00,RichGo00
KAN,6 | 1978,AdamTo00,0,ReedTo00,McKnTe00,MarsHe00,WhitWa00,BeckEd00
TAM,6 | 1978,WillDo01,0,BellRi01,DuboJi00,MuckLa00,OwenMo00,GileJi00
NOR,6 | 1978,MannAr00,0,GalbTo00,StraMi00,ChilHe00,ChanWe00,HarrIk00
CLE,6 | 1978,SipeBr00,0,PruiMi00,MillCl00,NewsOz00,LogaDa00,RuckRe00
RAI,6 | 1978,StabKe00,0,VanEMa00,WhitAr00,BradMo00,CaspDa00,BranCl00
OTI,6 | 1978,PastDa00,0,CampEa00,WilsTi00,RenfMi00,BarbMi01,CastRi00
RAM,6 | 1978,HadePa00,0,BryaCu00,CappJo00,MillWi00,JessRo00,DennPr00
SFO,6 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SealPa00,None,None
SDG,6 | 1978,FoutDa00,0,MitcLy00,WoodDo00,JeffJo00,CurrPa00,KleiBo00
DEN,6 | 1978,PenrCr00,1,KeywJo00,PerrLo00,OdomRi00,DolbJa00,UpchRi00
SEA,6 | 1978,ZornJi00,0,SimsDa00,SmitSh00,McCuSa00,RaibSt00,HowaRo00
