key,wy,qb1
TAM-197909010tam,1 | 1979,WillDo01
DET-197909010tam,1 | 1979,ReedJo00
BUF-197909020buf,1 | 1979,FergJo00
MIA-197909020buf,1 | 1979,GrieBo00
MIN-197909020min,1 | 1979,KramTo00
SFO-197909020min,1 | 1979,DebeSt00
PHI-197909020phi,1 | 1979,JawoRo00
NYG-197909020phi,1 | 1979,PisaJo00
WAS-197909020was,1 | 1979,TheiJo00
OTI-197909020was,1 | 1979,PastDa00
CHI-197909020chi,1 | 1979,PhipMi00
GNB-197909020chi,1 | 1979,WhitDa02
CRD-197909020crd,1 | 1979,HartJi00
DAL-197909020crd,1 | 1979,StauRo00
NOR-197909020nor,1 | 1979,MannAr00
ATL-197909020nor,1 | 1979,BartSt00
DEN-197909020den,1 | 1979,WeesNo00
CIN-197909020den,1 | 1979,AndeKe00
KAN-197909020kan,1 | 1979,LiviMi00
CLT-197909020kan,1 | 1979,JoneBe00
NYJ-197909020nyj,1 | 1979,RobiMa01
CLE-197909020nyj,1 | 1979,SipeBr00
RAM-197909020ram,1 | 1979,HadePa00
RAI-197909020ram,1 | 1979,StabKe00
SEA-197909020sea,1 | 1979,ZornJi00
SDG-197909020sea,1 | 1979,FoutDa00
NWE-197909030nwe,1 | 1979,GrogSt00
PIT-197909030nwe,1 | 1979,BradTe00
DEN-197909060den,2 | 1979,WeesNo00
RAM-197909060den,2 | 1979,HadePa00
BUF-197909090buf,2 | 1979,FergJo00
CIN-197909090buf,2 | 1979,AndeKe00
CHI-197909090chi,2 | 1979,PhipMi00
MIN-197909090chi,2 | 1979,KramTo00
GNB-197909090gnb,2 | 1979,WhitDa02
NOR-197909090gnb,2 | 1979,MannAr00
NYG-197909090nyg,2 | 1979,PisaJo00
CRD-197909090nyg,2 | 1979,HartJi00
PIT-197909090pit,2 | 1979,BradTe00
OTI-197909090pit,2 | 1979,PastDa00
CLT-197909090clt,2 | 1979,LandGr00
TAM-197909090clt,2 | 1979,WillDo01
DET-197909090det,2 | 1979,KomlJe00
WAS-197909090det,2 | 1979,TheiJo00
KAN-197909090kan,2 | 1979,LiviMi00
CLE-197909090kan,2 | 1979,SipeBr00
MIA-197909090mia,2 | 1979,GrieBo00
SEA-197909090mia,2 | 1979,ZornJi00
NWE-197909090nwe,2 | 1979,GrogSt00
NYJ-197909090nwe,2 | 1979,ToddRi00
SDG-197909090sdg,2 | 1979,FoutDa00
RAI-197909090sdg,2 | 1979,StabKe00
SFO-197909090sfo,2 | 1979,DebeSt00
DAL-197909090sfo,2 | 1979,StauRo00
PHI-197909100phi,2 | 1979,JawoRo00
ATL-197909100phi,2 | 1979,BartSt00
ATL-197909160atl,3 | 1979,BartSt00
DEN-197909160atl,3 | 1979,WeesNo00
CIN-197909160cin,3 | 1979,AndeKe00
NWE-197909160cin,3 | 1979,GrogSt00
CLE-197909160cle,3 | 1979,SipeBr00
CLT-197909160cle,3 | 1979,LandGr00
NOR-197909160nor,3 | 1979,MannAr00
PHI-197909160nor,3 | 1979,JawoRo00
NYJ-197909160nyj,3 | 1979,ToddRi00
DET-197909160nyj,3 | 1979,KomlJe00
GNB-197909160gnb,3 | 1979,WhitDa02
TAM-197909160gnb,3 | 1979,WillDo01
MIN-197909160min,3 | 1979,KramTo00
MIA-197909160min,3 | 1979,GrieBo00
OTI-197909160oti,3 | 1979,NielGi00
KAN-197909160oti,3 | 1979,FullSt00
CRD-197909160crd,3 | 1979,HartJi00
PIT-197909160crd,3 | 1979,BradTe00
DAL-197909160dal,3 | 1979,StauRo00
CHI-197909160dal,3 | 1979,EvanVi00
RAM-197909160ram,3 | 1979,HadePa00
SFO-197909160ram,3 | 1979,DebeSt00
SDG-197909160sdg,3 | 1979,FoutDa00
BUF-197909160sdg,3 | 1979,FergJo00
SEA-197909160sea,3 | 1979,ZornJi00
RAI-197909160sea,3 | 1979,StabKe00
WAS-197909170was,3 | 1979,TheiJo00
NYG-197909170was,3 | 1979,PisaJo00
BUF-197909230buf,4 | 1979,FergJo00
NYJ-197909230buf,4 | 1979,ToddRi00
CIN-197909230cin,4 | 1979,ThomJa00
OTI-197909230cin,4 | 1979,PastDa00
DET-197909230det,4 | 1979,KomlJe00
ATL-197909230det,4 | 1979,BartSt00
MIN-197909230min,4 | 1979,KramTo00
GNB-197909230min,4 | 1979,WhitDa02
NWE-197909230nwe,4 | 1979,GrogSt00
SDG-197909230nwe,4 | 1979,FoutDa00
PIT-197909230pit,4 | 1979,BradTe00
CLT-197909230pit,4 | 1979,LandGr00
CRD-197909230crd,4 | 1979,HartJi00
WAS-197909230crd,4 | 1979,TheiJo00
KAN-197909230kan,4 | 1979,FullSt00
RAI-197909230kan,4 | 1979,StabKe00
DEN-197909230den,4 | 1979,WeesNo00
SEA-197909230den,4 | 1979,ZornJi00
MIA-197909230mia,4 | 1979,StroDo00
CHI-197909230mia,4 | 1979,EvanVi00
NYG-197909230nyg,4 | 1979,DeanRa00
PHI-197909230nyg,4 | 1979,JawoRo00
SFO-197909230sfo,4 | 1979,DebeSt00
NOR-197909230sfo,4 | 1979,MannAr00
TAM-197909230tam,4 | 1979,WillDo01
RAM-197909230tam,4 | 1979,HadePa00
CLE-197909240cle,4 | 1979,SipeBr00
DAL-197909240cle,4 | 1979,StauRo00
ATL-197909300atl,5 | 1979,BartSt00
WAS-197909300atl,5 | 1979,TheiJo00
DET-197909300det,5 | 1979,KomlJe00
MIN-197909300det,5 | 1979,KramTo00
NOR-197909300nor,5 | 1979,MannAr00
NYG-197909300nor,5 | 1979,PisaJo00
NYJ-197909300nyj,5 | 1979,ToddRi00
MIA-197909300nyj,5 | 1979,GrieBo00
PHI-197909300phi,5 | 1979,JawoRo00
PIT-197909300phi,5 | 1979,BradTe00
CHI-197909300chi,5 | 1979,EvanVi00
TAM-197909300chi,5 | 1979,WillDo01
CLT-197909300clt,5 | 1979,LandGr00
BUF-197909300clt,5 | 1979,FergJo00
