key,opp_abbr,wy,p_id,last5_completed_passes,last5_attempted_passes,last5_passing_yards,last5_passing_touchdowns,last5_interceptions_thrown,last5_times_sacked,last5_yards_lost_from_sacks,last5_longest_pass,last5_quarterback_rating,last5_rush_attempts,last5_rush_yards,last5_rush_touchdowns,last5_longest_rush,last5_isHome,last5_completion_percentage,last5_td_percentage,last5_interception_percentage,last5_yards_per_attempt,last5_adjusted_yards_per_attempt,last5_yards_per_completion,last5_sack_percentage,last5_net_gained_per_pass_attempt,last5_adjusted_net_yards_per_pass_attempt,last5_rush_yards_per_attempt
CLE-199911210cle,CAR,11 | 1999,CoucTi00,15.6,26.2,159.0,1.2,0.8,3.2,22.4,34.0,82.72,2.4,22.6,0.0,17.0,0.2,59.66,5.456,2.666,6.32,6.214,10.458000000000002,11.384,4.777999999999999,4.656,10.95
CAR-199911210cle,CLE,11 | 1999,BeueSt00,23.0,38.2,284.4,1.6,1.8,4.0,24.8,37.6,78.7,2.0,10.8,0.2,7.6,0.4,60.502,4.497999999999999,4.832,7.517999999999999,6.248,12.406,9.324,6.264,5.159999999999999,5.468000000000001
GNB-199911210gnb,DET,11 | 1999,FavrBr00,17.2,34.0,200.0,1.2,2.2,2.2,13.0,44.0,55.7,1.6,8.4,0.0,6.4,0.4,48.896,4.2,7.103999999999999,6.02,3.664,12.862,5.8100000000000005,5.316,3.098,4.566
DET-199911210gnb,GNB,11 | 1999,FrerGu00,13.6,24.2,182.8,0.8,0.2,3.8,26.6,39.6,87.94,1.6,6.6,0.0,5.8,0.4,56.25,3.526,0.77,7.514,7.872,12.9,13.941999999999998,5.42,5.712000000000001,5.32
PHI-199911210phi,CLT,11 | 1999,McNaDo00,5.2,12.2,40.0,0.0,0.2,1.8,10.6,10.4,50.4,2.8,18.6,0.0,12.0,0.4,45.102,0.0,1.0,2.956,2.506,6.868,11.59,1.7600000000000002,1.352,7.087999999999999
CLT-199911210phi,PHI,11 | 1999,MannPe00,20.2,34.0,266.8,1.4,0.8,1.0,10.6,44.6,88.32000000000001,2.0,1.8,0.2,2.2,0.6,59.402,4.119999999999999,2.356,7.875999999999999,7.638,13.32,2.826,7.325999999999999,7.102000000000001,0.666
OTI-199911210oti,PIT,11 | 1999,McNaSt00,16.8,32.2,219.2,1.0,0.8,2.0,11.2,37.6,75.9,6.6,29.0,0.6,11.8,0.6,51.862,3.256,2.052,6.795999999999999,6.522,12.952000000000002,5.494,6.101999999999999,5.872,5.336
PIT-199911210oti,OTI,11 | 1999,StewKo00,16.2,27.4,150.6,0.8,0.6,1.4,9.2,24.8,77.03999999999999,5.8,21.8,0.0,11.4,0.4,59.5,3.102,1.94,5.55,5.298,9.268,4.836,4.938000000000001,4.692,3.770000000000001
SDG-199911210sdg,CHI,11 | 1999,HarbJi00,14.8,26.4,145.8,0.6,1.4,2.6,14.8,27.4,53.220000000000006,1.2,5.0,0.0,4.4,0.6,55.77,1.65,7.17,5.216,2.316,9.574,9.142,4.176,1.574,2.534
CHI-199911210sdg,SDG,11 | 1999,MillJi00,14.6,24.8,160.8,0.8,1.0,1.2,5.6,38.2,64.92,0.4,-0.8,0.0,-0.8,0.4,54.878,1.94,3.394,5.7780000000000005,4.636,10.441999999999998,3.948,5.3660000000000005,4.247999999999999,-0.8
SFO-199911210sfo,RAM,11 | 1999,GarcJe00,17.2,32.6,187.8,0.6,1.0,1.0,7.2,30.8,61.7,4.4,19.4,0.2,8.8,0.6,51.538,1.656,2.9560000000000004,5.459999999999999,4.464,10.378,2.652,5.118,4.140000000000001,5.05
RAM-199911210sfo,SFO,11 | 1999,WarnKu00,21.8,33.2,246.2,2.4,0.6,2.6,17.6,45.4,104.88,1.6,10.6,0.0,9.2,0.4,66.478,7.18,1.642,7.345999999999999,8.044,11.166,6.531999999999999,6.465999999999999,7.113999999999999,4.634
WAS-199911210was,NYG,11 | 1999,JohnBr00,19.8,34.0,243.0,1.6,1.2,1.6,8.2,38.4,83.6,1.0,0.2,0.2,0.2,0.4,58.32199999999999,4.994,3.358,7.268000000000001,6.756,12.602,4.232,6.718000000000001,6.276,0.0
NYG-199911210was,WAS,11 | 1999,CollKe00,12.2,22.4,124.0,0.2,0.6,2.0,14.8,21.4,50.56,1.4,4.2,0.0,2.0,0.6,47.832,0.466,5.049999999999999,5.372,3.192,11.138,7.562,4.45,2.386,0.95
CRD-199911210crd,DAL,11 | 1999,BrowDa00,11.2,23.4,134.6,0.2,0.6,2.6,19.0,38.4,60.43999999999998,1.6,5.6,0.0,3.6,0.8,48.246,1.0,2.212,5.766,4.972,11.858,9.456,4.595999999999999,3.845999999999999,2.434
DAL-199911210crd,CRD,11 | 1999,GarrJa00,4.2,9.2,50.8,0.4,0.2,1.0,5.0,13.8,42.96,0.8,1.8,0.0,1.6,0.6,25.848000000000003,1.7399999999999998,1.818,2.73,2.26,5.368,14.675999999999998,1.876,1.3779999999999997,0.9
CIN-199911210cin,RAV,11 | 1999,BlakJe00,13.2,24.0,168.8,0.8,0.4,2.2,14.6,35.8,89.0,3.0,20.8,0.2,11.2,0.6,57.56,4.924,1.142,6.942,7.412000000000001,12.174,6.453999999999999,6.069999999999999,6.529999999999999,7.52
RAV-199911210cin,CIN,11 | 1999,BankTo00,10.4,21.2,94.0,0.6,0.2,2.0,10.2,18.4,72.02,2.0,10.8,0.0,5.6,0.6,51.466,3.054,0.588,4.638,4.986,9.01,7.842,3.924,4.244,3.816
JAX-199911210jax,NOR,11 | 1999,BrunMa00,15.6,25.8,158.0,1.0,0.0,2.2,15.4,28.2,92.74,1.8,8.4,0.0,8.6,0.4,60.374,4.328,0.0,6.22,7.086,10.58,6.890000000000001,5.338,6.152,5.2
NOR-199911210jax,JAX,11 | 1999,TollBi00,16.2,30.0,215.0,0.8,1.6,1.0,7.8,34.2,67.32000000000001,3.4,18.4,0.4,8.8,0.8,55.658,2.762,4.788,7.925999999999999,6.326,13.464,4.0200000000000005,7.116000000000001,5.540000000000001,3.92
DEN-199911220den,RAI,11 | 1999,MillCh00,16.2,27.4,156.2,1.0,1.0,2.0,15.6,27.4,67.44,1.4,5.0,0.0,3.6,0.0,55.302,3.956,4.12,5.568,4.504,10.302,7.689999999999999,4.494,3.496,2.0
RAI-199911220den,DEN,11 | 1999,GannRi00,18.2,32.2,227.8,1.4,0.8,3.2,19.2,33.2,84.22,4.0,26.6,0.0,14.8,0.8,57.720000000000006,4.674,2.218,7.212000000000001,7.15,13.294,9.108,6.072,6.088,5.128
