key,opp_abbr,wy,p_id,careerAvg_completed_passes,careerAvg_attempted_passes,careerAvg_passing_yards,careerAvg_passing_touchdowns,careerAvg_interceptions_thrown,careerAvg_times_sacked,careerAvg_yards_lost_from_sacks,careerAvg_longest_pass,careerAvg_quarterback_rating,careerAvg_rush_attempts,careerAvg_rush_yards,careerAvg_rush_touchdowns,careerAvg_longest_rush,careerAvg_isHome,careerAvg_completion_percentage,careerAvg_td_percentage,careerAvg_interception_percentage,careerAvg_yards_per_attempt,careerAvg_adjusted_yards_per_attempt,careerAvg_yards_per_completion,careerAvg_sack_percentage,careerAvg_net_gained_per_pass_attempt,careerAvg_adjusted_net_yards_per_pass_attempt,careerAvg_rush_yards_per_attempt
BUF-198009140buf,NYJ,2 | 1980,FergJo00,13.121,24.848,178.97,0.939,1.061,2.182,19.091,37.939,71.382,1.606,4.848,0.03,3.242,0.515,52.535,4.015,4.397,7.116,5.941,13.316,8.319,5.785,4.703,1.565
NYJ-198009140buf,BUF,2 | 1980,ToddRi00,11.524,22.238,176.619,1.048,1.714,1.952,17.0,37.571,68.605,2.476,5.476,0.286,5.381,0.524,53.192,4.901,8.002,8.376,5.755,15.778,8.151,7.026,4.689,2.787
MIN-198009140min,PHI,2 | 1980,KramTo00,17.5,31.2,192.1,1.3,1.3,2.0,14.2,29.3,66.65,1.7,7.75,0.05,5.1,0.6,52.93,3.633,4.471,5.899,4.615,11.094,6.84,4.89,3.697,3.074
PHI-198009140min,MIN,2 | 1980,JawoRo00,12.778,24.917,167.5,1.194,0.806,2.306,17.611,38.694,76.814,2.222,6.194,0.056,5.833,0.5,52.192,5.053,3.341,6.934,6.442,13.469,8.294,5.731,5.292,2.878
NWE-198009140nwe,ATL,2 | 1980,GrogSt00,11.971,24.206,188.971,1.353,1.353,2.0,15.853,41.412,68.021,4.382,27.824,0.206,14.735,0.529,49.113,5.41,5.913,7.743,6.164,15.653,7.51,6.602,5.172,6.542
ATL-198009140nwe,NWE,2 | 1980,BartSt00,13.903,26.839,177.323,1.032,1.419,2.774,22.806,35.839,63.661,1.613,3.194,0.129,2.71,0.484,51.057,3.719,5.804,6.555,4.686,12.889,10.098,5.081,3.441,1.396
CHI-198009140chi,NOR,2 | 1980,PhipMi00,10.4,19.9,115.8,0.55,1.15,1.15,10.35,26.0,60.74,2.05,4.4,0.0,3.85,0.5,53.148,2.414,5.77,5.689,3.576,10.64,6.009,4.76,2.742,1.986
NOR-198009140chi,CHI,2 | 1980,MannAr00,17.212,28.212,209.061,1.0,1.091,1.667,13.667,39.848,84.679,2.242,11.848,0.091,8.697,0.515,61.089,4.427,3.858,7.622,6.772,12.604,5.692,6.701,5.909,5.286
CLT-198009140clt,PIT,2 | 1980,JoneBe00,11.75,22.0,158.75,0.875,0.625,2.25,19.625,40.375,83.212,2.75,13.875,0.25,10.5,0.5,55.321,4.761,2.352,7.486,7.38,14.496,10.459,5.578,5.45,6.14
PIT-198009140clt,CLT,2 | 1980,BradTe00,14.744,26.256,216.436,1.795,1.41,1.41,12.667,39.641,87.736,1.795,6.256,0.051,5.41,0.564,56.909,7.422,5.482,8.536,7.553,14.907,5.086,7.66,6.738,3.358
GNB-198009140gnb,DET,2 | 1980,DickLy00,11.667,23.5,154.167,0.833,0.833,3.167,26.333,29.667,70.0,1.0,2.167,0.0,2.167,0.5,52.505,2.67,2.67,6.337,5.67,12.493,13.757,4.36,3.788,1.278
DET-198009140gnb,GNB,2 | 1980,DaniGa00,13.933,24.667,164.467,1.2,1.133,1.8,16.4,30.267,72.093,1.533,6.133,0.0,5.4,0.467,53.363,4.305,4.183,6.438,5.416,12.2,6.491,5.455,4.547,4.0
KAN-198009140kan,SEA,2 | 1980,FullSt00,10.8,19.867,112.0,0.467,1.133,2.8,18.467,25.133,58.953,3.733,18.333,0.067,11.067,0.467,55.217,2.302,5.428,5.608,3.625,10.228,12.462,4.119,2.462,4.503
SEA-198009140kan,KAN,2 | 1980,ZornJi00,16.697,29.727,217.545,1.091,1.212,2.152,15.697,36.909,77.006,3.242,17.242,0.242,10.758,0.515,56.218,3.915,3.872,7.486,6.525,13.23,7.14,6.465,5.561,4.5
DEN-198009140den,DAL,2 | 1980,RobiMa01,10.6,22.533,158.067,0.867,1.333,2.467,19.467,38.8,66.013,2.2,2.867,0.067,4.4,0.467,46.759,4.617,6.117,7.561,5.734,16.031,10.8,5.961,4.504,1.159
DAL-198009140den,DEN,2 | 1980,WhitDa01,1.595,3.0,19.351,0.054,0.162,0.162,1.811,6.73,25.849,0.243,0.757,0.0,1.243,0.514,19.066,0.381,1.158,2.532,2.087,3.92,2.735,2.011,1.557,0.802
MIA-198009140mia,CIN,2 | 1980,StroDo00,7.421,13.632,96.895,0.947,0.842,0.684,6.0,31.895,79.963,0.684,2.158,0.0,1.842,0.474,54.707,12.358,8.373,7.249,5.954,13.397,6.187,6.155,5.487,1.772
CIN-198009140mia,MIA,2 | 1980,ThomJa00,5.0,12.0,58.667,0.222,0.667,2.111,23.222,20.0,47.556,2.444,12.889,0.556,5.333,0.667,42.377,1.113,8.153,4.703,1.257,9.712,12.158,2.711,-0.454,2.889
NYG-198009140nyg,WAS,2 | 1980,SimmPh00,11.538,22.769,155.615,1.385,1.154,3.077,25.0,37.231,70.769,2.538,13.0,0.077,9.769,0.462,50.898,5.642,6.168,6.713,5.067,13.22,12.298,4.902,3.535,5.285
WAS-198009140nyg,NYG,2 | 1980,TheiJo00,13.719,25.594,174.375,1.031,1.0,2.406,20.719,35.219,74.112,2.656,11.406,0.156,8.688,0.5,53.431,4.397,3.732,6.877,6.076,13.176,8.523,5.541,4.811,4.986
SDG-198009140sdg,RAI,2 | 1980,FoutDa00,18.242,29.97,231.636,1.576,1.485,1.606,10.515,38.0,83.294,1.424,2.879,0.121,2.909,0.515,60.348,5.483,5.264,7.773,6.501,13.123,5.501,7.006,5.854,1.074
RAI-198009140sdg,SDG,2 | 1980,PastDa00,12.216,22.838,157.676,0.973,1.162,1.568,12.216,38.054,73.086,0.973,0.676,0.0,1.162,0.432,54.379,4.505,5.173,7.192,5.765,12.938,6.678,6.236,4.951,0.527
SFO-198009140sfo,CRD,2 | 1980,DebeSt00,17.414,31.345,187.759,0.897,1.517,1.276,10.414,32.241,64.272,1.103,1.034,0.034,1.241,0.448,56.371,3.844,5.057,6.74,5.234,11.396,3.994,6.193,4.768,0.531
CRD-198009140sfo,SFO,2 | 1980,HartJi00,15.067,29.533,188.7,0.9,1.367,1.633,12.8,33.7,64.1,0.6,0.867,0.067,0.833,0.5,51.56,3.631,4.575,6.385,5.052,12.373,5.236,5.659,4.352,0.5
CLE-198009150cle,OTI,2 | 1980,SipeBr00,16.061,29.364,210.061,1.545,1.242,2.212,18.0,36.758,75.748,2.273,7.909,0.152,6.697,0.485,54.034,5.158,4.102,7.054,6.24,12.568,6.793,6.033,5.31,2.976
OTI-198009150cle,CLE,2 | 1980,StabKe00,17.121,28.697,204.697,1.273,1.727,2.212,19.758,30.364,77.967,0.636,-0.121,0.0,0.121,0.485,59.661,4.799,5.96,7.253,5.532,12.253,7.482,6.039,4.453,-0.152
ATL-198009210atl,MIA,3 | 1980,BartSt00,14.062,26.938,179.406,1.094,1.375,2.719,22.312,35.594,65.488,1.656,3.062,0.125,2.688,0.469,51.441,3.915,5.622,6.604,4.856,12.888,9.883,5.161,3.632,1.342
MIA-198009210atl,ATL,3 | 1980,StroDo00,7.55,13.8,99.3,0.95,0.8,0.75,6.8,31.95,81.275,0.7,1.9,0.0,1.6,0.5,54.913,12.034,7.954,7.313,6.141,13.452,6.405,6.17,5.59,1.534
CHI-198009210chi,MIN,3 | 1980,EvanVi00,4.714,9.429,78.0,0.571,0.857,1.429,14.286,34.714,59.057,2.571,13.571,0.143,9.714,0.571,36.467,4.449,10.959,7.741,3.701,16.254,13.723,4.223,1.823,4.464
MIN-198009210chi,CHI,3 | 1980,KramTo00,17.429,31.571,191.429,1.286,1.286,2.0,14.143,30.095,66.01,1.667,7.381,0.048,4.857,0.619,52.364,3.582,4.38,5.835,4.581,11.096,6.747,4.849,3.683,2.928
CIN-198009210cin,PIT,3 | 1980,ThomJa00,6.0,13.2,66.4,0.3,0.7,1.9,20.9,20.6,50.23,2.2,11.6,0.5,4.8,0.6,44.389,1.419,7.755,4.8,1.593,9.648,10.942,3.007,0.053,2.6
PIT-198009210cin,CIN,3 | 1980,BradTe00,14.875,26.475,218.075,1.8,1.4,1.4,12.575,39.45,87.802,1.85,6.05,0.05,5.35,0.55,56.915,7.379,5.416,8.524,7.562,14.887,5.029,7.658,6.756,3.262
CLE-198009210cle,KAN,3 | 1980,SipeBr00,15.941,29.235,207.0,1.529,1.235,2.147,17.471,36.118,75.179,2.206,7.676,0.147,6.5,0.5,53.856,5.124,4.099,6.971,6.152,12.458,6.593,5.981,5.249,2.889
KAN-198009210cle,CLE,3 | 1980,FullSt00,11.375,20.562,116.5,0.5,1.062,2.875,19.125,25.312,60.975,3.812,18.5,0.062,11.0,0.5,55.798,2.36,5.089,5.629,3.81,10.164,12.397,4.139,2.621,4.484
DET-198009210det,CRD,3 | 1980,DaniGa00,13.75,24.188,169.562,1.188,1.062,1.812,16.812,33.812,75.569,1.562,7.25,0.0,6.188,0.438,54.072,4.403,3.922,6.94,6.056,12.835,6.744,5.848,5.062,4.5
