key,opp_abbr,wy,p_id,seasonAvg_completed_passes,seasonAvg_attempted_passes,seasonAvg_passing_yards,seasonAvg_passing_touchdowns,seasonAvg_interceptions_thrown,seasonAvg_times_sacked,seasonAvg_yards_lost_from_sacks,seasonAvg_longest_pass,seasonAvg_quarterback_rating,seasonAvg_rush_attempts,seasonAvg_rush_yards,seasonAvg_rush_touchdowns,seasonAvg_longest_rush,seasonAvg_isHome,seasonAvg_completion_percentage,seasonAvg_td_percentage,seasonAvg_interception_percentage,seasonAvg_yards_per_attempt,seasonAvg_adjusted_yards_per_attempt,seasonAvg_yards_per_completion,seasonAvg_sack_percentage,seasonAvg_net_gained_per_pass_attempt,seasonAvg_adjusted_net_yards_per_pass_attempt,seasonAvg_rush_yards_per_attempt
NYJ-198009140buf,BUF,2 | 1980,ToddRi00,11.0,26.0,200.0,0.0,4.0,1.0,13.0,52.0,29.8,2.0,4.0,1.0,3.0,1.0,42.31,0.0,15.38,7.69,0.77,18.18,3.7,6.93,0.26,2.0
MIN-198009140min,PHI,2 | 1980,KramTo00,30.0,42.0,395.0,3.0,1.0,3.0,24.0,35.0,114.7,1.0,7.0,0.0,7.0,1.0,71.43,7.14,2.38,9.4,9.76,13.17,6.67,8.24,8.58,7.0
PHI-198009140min,MIN,2 | 1980,JawoRo00,18.0,28.0,281.0,3.0,0.0,0.0,0.0,56.0,133.2,2.0,2.0,0.0,2.0,1.0,64.29,10.71,0.0,10.04,12.18,15.61,0.0,10.04,12.18,1.0
NWE-198009140nwe,ATL,2 | 1980,GrogSt00,17.0,26.0,277.0,3.0,1.0,1.0,11.0,67.0,123.4,3.0,23.0,0.0,19.0,1.0,65.38,11.54,3.85,10.65,11.23,16.29,3.7,9.85,10.41,7.67
ATL-198009140nwe,NWE,2 | 1980,BartSt00,14.0,28.0,165.0,2.0,1.0,1.0,9.0,46.0,77.2,1.0,0.0,0.0,0.0,0.0,50.0,7.14,3.57,5.89,5.71,11.79,3.45,5.38,5.21,0.0
CHI-198009140chi,NOR,2 | 1980,PhipMi00,17.0,30.0,174.0,0.0,3.0,1.0,7.0,21.0,33.9,0.0,0.0,0.0,0.0,0.0,56.67,0.0,10.0,5.8,1.3,10.24,3.23,5.39,1.03,0.0
NOR-198009140chi,CHI,2 | 1980,MannAr00,25.0,40.0,314.0,1.0,0.0,1.0,10.0,49.0,95.2,1.0,3.0,0.0,3.0,1.0,62.5,2.5,0.0,7.85,8.35,12.56,2.44,7.41,7.9,3.0
CLT-198009140clt,PIT,2 | 1980,JoneBe00,24.0,42.0,257.0,0.0,1.0,2.0,18.0,20.0,65.3,3.0,33.0,1.0,19.0,0.0,57.14,0.0,2.38,6.12,5.05,10.71,4.55,5.43,4.41,11.0
PIT-198009140clt,CLT,2 | 1980,BradTe00,12.0,24.0,254.0,2.0,2.0,2.0,17.0,50.0,80.9,2.0,6.0,1.0,5.0,1.0,50.0,8.33,8.33,10.58,8.5,21.17,7.69,9.12,7.19,3.0
GNB-198009140gnb,DET,2 | 1980,DickLy00,10.0,22.0,138.0,0.0,1.0,4.0,38.0,32.0,47.2,1.0,0.0,0.0,0.0,1.0,45.45,0.0,4.55,6.27,4.23,13.8,15.38,3.85,2.12,0.0
DET-198009140gnb,GNB,2 | 1980,DaniGa00,10.0,19.0,173.0,0.0,0.0,2.0,9.0,60.0,83.9,1.0,-1.0,0.0,-1.0,0.0,52.63,0.0,0.0,9.11,9.11,17.3,9.52,7.81,7.81,-1.0
KAN-198009140kan,SEA,2 | 1980,FullSt00,16.0,28.0,196.0,1.0,3.0,5.0,33.0,37.0,51.2,6.0,11.0,0.0,7.0,1.0,57.14,3.57,10.71,7.0,2.89,12.25,15.15,4.94,1.45,1.83
SEA-198009140kan,KAN,2 | 1980,ZornJi00,18.0,33.0,235.0,1.0,2.0,4.0,33.0,36.0,62.1,2.0,0.0,0.0,0.0,1.0,54.55,3.03,6.06,7.12,5.0,13.06,10.81,5.46,3.57,0.0
DEN-198009140den,DAL,2 | 1980,RobiMa01,18.0,41.0,178.0,0.0,2.0,4.0,34.0,25.0,36.4,2.0,16.0,0.0,8.0,0.0,43.9,0.0,4.88,4.34,2.15,9.89,8.89,3.2,1.2,8.0
DAL-198009140den,DEN,2 | 1980,WhitDa01,10.0,18.0,107.0,0.0,2.0,0.0,0.0,37.0,33.6,0.0,0.0,0.0,0.0,0.0,55.56,0.0,11.11,5.94,0.94,10.7,0.0,5.94,0.94,0.0
MIA-198009140mia,CIN,2 | 1980,StroDo00,4.0,8.0,38.0,0.0,2.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,4.75,-6.5,9.5,0.0,4.75,-6.5,0.0
CIN-198009140mia,MIA,2 | 1980,ThomJa00,6.0,21.0,47.0,1.0,1.0,3.0,31.0,19.0,35.6,1.0,0.0,0.0,0.0,1.0,28.57,4.76,4.76,2.24,1.05,7.83,12.5,0.67,-0.38,0.0
NYG-198009140nyg,WAS,2 | 1980,SimmPh00,16.0,31.0,280.0,5.0,1.0,1.0,6.0,58.0,108.9,4.0,3.0,0.0,5.0,0.0,51.61,16.13,3.23,9.03,10.81,17.5,3.12,8.56,10.28,0.75
WAS-198009140nyg,NYG,2 | 1980,TheiJo00,19.0,34.0,190.0,0.0,1.0,1.0,9.0,19.0,59.7,2.0,7.0,0.0,7.0,1.0,55.88,0.0,2.94,5.59,4.26,10.0,2.86,5.17,3.89,3.5
SDG-198009140sdg,RAI,2 | 1980,FoutDa00,21.0,31.0,230.0,4.0,0.0,1.0,6.0,35.0,129.0,1.0,3.0,0.0,3.0,0.0,67.74,12.9,0.0,7.42,10.0,10.95,3.12,7.0,9.5,3.0
RAI-198009140sdg,SDG,2 | 1980,PastDa00,19.0,37.0,317.0,2.0,0.0,3.0,25.0,55.0,98.6,0.0,0.0,0.0,0.0,0.0,51.35,5.41,0.0,8.57,9.65,16.68,7.5,7.3,8.3,0.0
SFO-198009140sfo,CRD,2 | 1980,DebeSt00,21.0,29.0,223.0,1.0,1.0,3.0,27.0,28.0,91.6,0.0,0.0,0.0,0.0,0.0,72.41,3.45,3.45,7.69,6.83,10.62,9.38,6.12,5.34,0.0
CRD-198009140sfo,SFO,2 | 1980,HartJi00,18.0,31.0,322.0,2.0,3.0,4.0,35.0,56.0,75.7,1.0,4.0,0.0,4.0,1.0,58.06,6.45,9.68,10.39,7.32,17.89,11.43,8.2,5.49,4.0
CLE-198009150cle,OTI,2 | 1980,SipeBr00,22.0,35.0,233.0,2.0,0.0,1.0,18.0,31.0,101.2,2.0,-4.0,0.0,0.0,0.0,62.86,5.71,0.0,6.66,7.8,10.59,2.78,5.97,7.08,-2.0
OTI-198009150cle,CLE,2 | 1980,StabKe00,24.0,43.0,196.0,0.0,5.0,2.0,21.0,24.0,28.0,1.0,0.0,0.0,0.0,0.0,55.81,0.0,11.63,4.56,-0.67,8.17,4.44,3.89,-1.11,0.0
ATL-198009210atl,MIA,3 | 1980,BartSt00,16.5,29.0,204.5,2.5,0.5,1.0,8.0,37.0,99.65,2.0,-0.5,0.0,1.0,0.0,56.665,8.57,1.785,7.01,7.92,12.315,3.34,6.515,7.395,-0.165
MIA-198009210atl,ATL,3 | 1980,StroDo00,7.0,12.5,91.5,0.5,1.0,1.0,11.0,25.5,65.1,0.5,-1.5,0.0,-1.5,0.5,54.41,2.94,12.5,6.64,1.605,12.0,5.265,5.61,0.515,-1.5
CHI-198009210chi,MIN,3 | 1980,EvanVi00,17.649,29.298,208.636,1.281,0.885,2.036,13.801,36.132,82.529,2.531,9.778,0.099,5.634,0.502,58.943,4.437,3.173,7.052,6.511,11.759,6.66,6.141,5.649,2.92
MIN-198009210chi,CHI,3 | 1980,KramTo00,23.0,40.5,286.5,2.0,1.0,2.5,18.5,40.5,83.95,1.0,3.5,0.0,3.5,1.0,56.23,4.85,2.47,6.98,6.84,12.145,5.775,6.13,5.995,3.5
CIN-198009210cin,PIT,3 | 1980,ThomJa00,10.5,22.5,91.5,1.0,1.0,1.5,15.5,22.5,54.95,0.5,0.0,0.0,0.0,0.5,45.535,4.465,4.465,3.955,2.835,8.45,6.25,3.17,2.12,0.0
PIT-198009210cin,CIN,3 | 1980,BradTe00,16.0,29.5,268.0,2.0,1.5,1.5,13.0,41.0,85.65,3.0,2.0,0.5,4.0,0.5,53.57,7.02,5.595,9.32,8.205,17.635,5.235,8.35,7.315,1.25
CLE-198009210cle,KAN,3 | 1980,SipeBr00,17.0,30.0,169.5,1.5,0.5,0.5,9.0,23.0,78.8,1.0,-2.0,0.0,0.0,0.5,55.43,4.855,2.0,5.45,5.52,9.71,1.39,5.105,5.16,-1.0
KAN-198009210cle,CLE,3 | 1980,FullSt00,18.0,29.5,190.0,1.0,1.5,4.5,31.0,32.5,71.25,5.5,16.0,0.0,8.5,1.0,60.83,3.4,5.355,6.47,4.735,10.725,13.29,4.685,3.225,3.015
DET-198009210det,CRD,3 | 1980,DaniGa00,10.5,18.0,209.5,0.5,0.0,2.0,16.0,73.5,105.8,1.5,11.5,0.0,8.5,0.0,58.67,2.94,0.0,11.79,12.38,19.83,10.025,9.775,10.3,5.5
CRD-198009210det,DET,3 | 1980,HartJi00,23.0,34.5,293.5,2.0,2.0,3.0,22.0,42.5,87.4,1.0,0.5,0.0,0.5,0.5,65.87,5.855,6.155,8.68,7.08,13.675,8.215,7.3,5.885,0.5
NYJ-198009210nyj,SFO,3 | 1980,ToddRi00,15.0,30.0,184.0,0.5,2.5,1.0,7.5,36.0,48.3,1.5,3.5,0.5,3.0,0.5,49.095,1.47,9.16,6.315,2.49,13.51,3.28,5.835,2.145,2.5
SFO-198009210nyj,NYJ,3 | 1980,DebeSt00,23.0,35.5,244.5,1.5,2.0,2.0,16.5,27.5,77.9,0.5,0.0,0.0,0.0,0.5,65.965,4.105,5.295,7.01,5.45,10.63,5.855,6.085,4.59,0.0
NOR-198009210nor,BUF,3 | 1980,MannAr00,20.0,33.5,241.0,0.5,1.0,3.0,26.0,37.0,69.3,1.5,6.5,0.0,6.5,0.5,59.03,1.25,3.705,7.035,5.62,11.88,9.03,5.675,4.51,4.0
BUF-198009210nor,NOR,3 | 1980,FergJo00,19.0,30.5,202.5,0.5,2.5,0.0,0.0,38.5,67.15,3.5,13.0,0.0,12.0,1.0,62.285,1.56,7.81,6.665,3.46,10.7,0.0,6.665,3.46,3.665
OTI-198009210oti,CLT,3 | 1980,StabKe00,23.5,35.5,191.5,0.0,2.5,1.5,15.5,21.0,61.25,0.5,0.0,0.0,0.0,0.0,68.975,0.0,5.815,5.62,3.005,8.15,3.945,4.995,2.495,0.0
CLT-198009210oti,OTI,3 | 1980,JoneBe00,21.5,38.0,253.5,0.5,1.0,1.0,9.0,24.0,71.05,2.5,29.5,0.5,16.0,0.5,56.51,1.47,2.66,6.735,5.835,11.935,2.275,6.39,5.515,12.0
